uid,question,golden_answer,source_ids,golden_doc_chunks,golden_triples,is_generated_with,topic_entity_id,topic_entity_value,hops,based_on_template,use_case,retrieval_operation,semi-typed,updated template,graph_representation,answer_format,answer_type,condition_type,used_in_reduced,notes
b90770f5-fce7-4aeb-b264-b958fec510ba,Does the paper with the title 'Data-Driven Software Architecture for Analyzing Confidentiality' make its tool support available?,"Yes, the paper with the title 'Data-Driven Software Architecture for Analyzing Confidentiality' does make its tool support available.",['10.1109/ICSA.2019.00009'],,"['(R873692:Tool Support, available, L1531022:True)']",publication_subgraph_strategy,R659055,Software Architecture and Design,4,Does the paper with the title '[Metadata: paper title]' make its tool support available?,2,basic,True,Does the paper with the title '[Metadata: paper title]' make its tool support available?,single fact,simple,boolean,named entity,True,
71ed577d-bb7e-47e0-898b-f1e79a74d444,Is tool support available in 'An Empirical Study of Architectural Decay in Open-Source Software'?,Tool support is available in 'An Empirical Study of Architectural Decay in Open-Source Software'.,['10.1109/ICSA.2018.00027'],,"['(R870133:Tool Support, available, L1523712:True)']",publication_subgraph_strategy,R870102,An Empirical Study of Architectural Decay in Open-Source Software,3,Does the paper '[Metadata: paper title]' use tool support?,2,basic,False,Is tool support available in '[Metadata: paper title]'?,single fact,simple,boolean,named entity,False,
37f302e8-a61d-4445-8155-eae8de487cfa,What is the evaluation method used in the paper with the title 'Enforcing Architectural Security Decisions'?,The evaluation method used in the paper with the title 'Enforcing Architectural Security Decisions' is a case study.,['10.1109/ICSA47634.2020.00012'],,"['(R872904:Evaluation Method Entity, Name, L1529438:Case Study)']",publication_subgraph_strategy,R872878,Enforcing Architectural Security Decisions,5,What is the evaluation method used in the paper '[Metadata: paper title]'?,2,basic,True,What is the evaluation method used in the paper with the title '[Metadata: paper title]'?,single fact,simple,named entity,named entity,False,
f4e3f510-e8e2-4e31-ba67-a6c8cbc8b7cb,Which evaluation method has been used for the evaluation in 'REST vs GraphQL: A Controlled Experiment'?,The evaluation method that has been used for the evaluation in 'REST vs GraphQL: A Controlled Experiment' is a controlled experiment.,['10.1109/ICSA47634.2020.00016'],,"['(R870911:Evaluation Method Entity, Name, L1525353:Controlled Experiment)']",publication_subgraph_strategy,R659055,Software Architecture and Design,6,What is the evaluation method used in the paper '[Metadata: paper title]'?,2,basic,False,Which evaluation method has been used for the evaluation in '[Metadata: paper title]'?,single fact,simple,named entity,named entity,False,
77d33680-318d-462a-820e-bc3c8a2d79ab,Which evaluation methods have been used to conduct the evaluation in 'Assessing Adaptability of Software Architectures for Cyber Physical Production Systems'?,The evaluation methods used to conduct the evaluation in the publication 'Assessing Adaptability of Software Architectures for Cyber Physical Production Systems' are Motivating Example and Argumentation.,"['10.1007/978-3-030-29983-5_10', '10.1007/978-3-030-29983-5_10']",,"['(R871370:Evaluation Method Entity, Name, L1526295:Motivating Example)', '(R871375:Evaluation Method Entity, Name, L1526299:Argumentation)']",publication_subgraph_strategy,R871346,Assessing Adaptability of Software Architectures for Cyber Physical Production Systems,5,What are the evaluation methods of the publication '[Metadata: paper title]'?,2,aggregation,False,Which evaluation methods have been used to conduct the evaluation in '[Metadata: paper title]'?,multi fact,enumerative,named entity,named entity,False,
01eda5c4-cd52-423f-aac8-30301a4b19e2,How many threats to validity does the paper with the title 'DesignDiff: Continuously Modeling Software Design Difference from Code Revisions' discuss?,The number of threats to validity discussed in the paper with the title 'DesignDiff: Continuously Modeling Software Design Difference from Code Revisions' is two.,"['10.1109/ICSA47634.2020.00025', '10.1109/ICSA47634.2020.00025']",,"['(R869480:Threat to Validity, internal validity, L1522322:True)', '(R869480:Threat to Validity, construct validity, L1522320:True)']",publication_subgraph_strategy,R659055,Software Architecture and Design,4,How many threats to validity does the paper with the title '[Metadata: paper title]' have?,2,counting,True,How many threats to validity does the paper with the title '[Metadata: paper title]' discuss?,multi fact,simple,quantitative,named entity,True,
057b5edf-93b9-4377-8b8f-75ae4c84a8b6,"What is the number of validity threats discussed in 'An Architecture for Decentralized, Collaborative, and Autonomous Robots'?","The number of validity threats discussed in 'An Architecture for Decentralized, Collaborative, and Autonomous Robots' is two.","['10.1109/ICSA.2018.00017', '10.1109/ICSA.2018.00017']",,"['(R871576:Threat to Validity, external validity, L1526691:True)', '(R871576:Threat to Validity, internal validity, L1526690:True)']",publication_subgraph_strategy,R871523,"An Architecture for Decentralized, Collaborative, and Autonomous Robots",3,How many threats to validity does the paper with the title '[Metadata: paper title]' have?,2,counting,False,What is the number of validity threats discussed in '[Metadata: paper title]'?,multi fact,simple,quantitative,named entity,False,
34b512a3-42b8-4696-89e7-be878211580f,How many evaluation methods does the paper with the title 'Continuous Architecture: Towards the Goldilocks Zone and Away from Vicious Circles' have?,The number of evaluation methods that the paper with the title 'Continuous Architecture: Towards the Goldilocks Zone and Away from Vicious Circles' has is one.,['10.1109/ICSA.2019.00022'],,"['(R873799:Evaluation Method Entity, Name, L1531251:Focus Group)']",publication_subgraph_strategy,R873775,Continuous Architecture: Towards the Goldilocks Zone and Away from Vicious Circles,5,How many evaluation methods does the paper with the title '[Metadata: paper title]' have?,2,counting,True,How many evaluation methods does the paper with the title '[Metadata: paper title]' have?,single fact,simple,quantitative,named entity,False,
6cd19fef-1eca-4941-b8a4-c6bd1c9902ac,What is the number of evaluation methods that have been used for the evaluation in 'Microservice Architecture in Reality: An Industrial Inquiry'?,"The paper contains one evaluation method, which is Interview.",['10.1109/ICSA.2019.00014'],,"['(R870212:Evaluation Method Entity, Name, L1523902:Interview)']",publication_subgraph_strategy,R870188,Microservice Architecture in Reality: An Industrial Inquiry,5,How many evaluation methods does the paper with the title '[Metadata: paper title]' have?,2,counting,False,What is the number of evaluation methods that have been used for the evaluation in '[Metadata: paper title]'?,single fact,simple,quantitative,named entity,False,
fcad33f8-09fc-4c67-a44a-495cf93be0c0,Which properties were evaluated in the paper with the title 'Monolith Migration Complexity Tuning Through the Application of Microservices Patterns'? Rank the properties in descending alphabetical order.,"The properties that were evaluated in the paper with the title 'Monolith Migration Complexity Tuning Through the Application of Microservices Patterns' are Satisfaction and Functional Suitability, ranked in descending alphabetical order.","['10.1007/978-3-030-58923-3_3', '10.1007/978-3-030-58923-3_3']",,"['(R872514:Property, Name, L1528664:Satisfaction)', '(R872512:Property, Name, L1528662:Functional Suitability)']",publication_subgraph_strategy,R659055,Software Architecture and Design,6,Which sub-properties were evaluated in the paper with the title '[Metadata: paper title]'? Rank them in descending alphabetical order.,2,ranking,True,Which properties were evaluated in the paper with the title '[Metadata: paper title]'? Rank the properties in descending alphabetical order.,multi fact,enumerative,named entity,named entity,True,
a0a0cd4a-6ddc-470e-9d49-68bf90f4a0ec,Compare the evaluation method used in 'A Blockchain-Based Micro Economy Platform for Distributed Infrastructure Initiatives' with the method used in 'Integrating Statistical Response Time Models in Architectural Performance Models'.,"The evaluation method used in 'A Blockchain-Based Micro Economy Platform for Distributed Infrastructure Initiatives' is 'Case Study', while the evaluation method used in 'Integrating Statistical Response Time Models in Architectural Performance Models' is 'Technical Experiment'.","['10.1109/ICSA.2018.00010', '10.1109/ICSA.2019.00016']",,"['(R874710:Evaluation Method Entity, Name, L1533181:Case Study)', '(R872218:Evaluation Method Entity, Name, L1528030:Technical Experiment)']",publication_subgraph_strategy,R659055,Software Architecture and Design,6,What evaluation methods does the paper [paper_title_1] use compared to the paper [paper_title_2]?,2,comparative,False,Compare the evaluation method used in '[Metadata: paper title]' with the method used in '[Metadata: paper title]'.,multi fact,explanatory,"description, named entity",named entity,False,
fce381c2-0d49-4c12-95f3-45fcb19ef7be,How many research objects did the author António Silva investigate in his papers per publication year?,The number of research objects that the author António Silva investigated in his papers per publication year is as follows: 2019: one research object; 2020: two research objects.,"['10.1007/978-3-030-29983-5_3', '10.1007/978-3-030-29983-5_3', '10.1007/978-3-030-29983-5_3', '10.1109/ICSA47634.2020.00024', '10.1109/ICSA47634.2020.00024', '10.1109/ICSA47634.2020.00024', '10.1007/978-3-030-58923-3_3', '10.1007/978-3-030-58923-3_3', '10.1007/978-3-030-58923-3_3']",,"['(R871187:authors list, has list element, L1525913:António Silva)', '(R871186:From a Monolith to a Microservices Architecture: An Approach Based on Transactional Contexts, publication year, L1525914:2019)', '(R871214:Research Object Entity, Name, L1525968:Architectural Aspects)', '(R874605:authors list, has list element, L1532957:António Silva)', '(R874604:A Complexity Metric for Microservices Architecture Migration, publication year, L1532958:2020)', '(R874632:Research Object Entity, Name, L1533010:Architecture Design Method)', '(R872485:authors list, has list element, L1528607:António Silva)', '(R872484:Monolith Migration Complexity Tuning Through the Application of Microservices Patterns, publication year, L1528608:2020)', '(R872516:Research Object Entity, Name, L1528666:Architecture Optimization Method)']",clustering_strategy,R659055,Software Architecture and Design,5,How many research objects did the author [Metadata: author name] investigate per year?,2,relationship,True,How many research objects did the author [Metadata: author name] investigate in his papers per publication year?,multi fact,explanatory,"description, quantitative, temporal",named entity,True,
2d90aff2-825e-4574-aad5-d1f643ffe7a3,"For each publication year, what is the number of evaluation methods applied in papers published by the author Mauro Caporuscio?","The number of evaluation methods applied in papers published by the author Mauro Caporuscio for each publication year is as follows: in 2020, two evaluation methods were applied; in 2021, one evaluation method was applied.","['10.1007/978-3-030-58923-3_4', '10.1007/978-3-030-58923-3_4', '10.1007/978-3-030-58923-3_4', '10.1007/978-3-030-86044-8_5', '10.1007/978-3-030-86044-8_5', '10.1007/978-3-030-86044-8_5', '10.1007/978-3-030-58923-3_18', '10.1007/978-3-030-58923-3_18', '10.1007/978-3-030-58923-3_18']",,"['(R869908:authors list, has list element, L1523243:Mauro Caporuscio)', '(R869907:Decentralized Architecture for Energy-Aware Service Assembly, publication year, L1523247:2020)', '(R869932:Evaluation Method Entity, Name, L1523299:Technical Experiment)', '(R870228:authors list, has list element, L1523935:Mauro Caporuscio)', '(R870227:A Machine Learning Approach to Service Discovery for Microservice Architectures, publication year, L1523939:2021)', '(R870253:Evaluation Method Entity, Name, L1523994:Technical Experiment)', '(R869731:authors list, has list element, L1522878:Mauro Caporuscio)', '(R869730:Architectural Concerns for Digital Twin of the Organization, publication year, L1522884:2020)', '(R869756:Evaluation Method Entity, Name, L1522935:Case Study)']",clustering_strategy,R659055,Software Architecture and Design,6,What is the proportion of the evaluation methods that have been published by the author [Metadata: author name] per year?,2,relationship,True,"For each publication year, what is the number of evaluation methods applied in papers published by the author [Metadata: author name]?",multi fact,explanatory,"description, quantitative, temporal",named entity,False,
ea232df6-7d5e-493e-802e-5aef7c93b2ac,"For each year, what is the number of evaluation approaches that have been applied in papers published by Danny Weyns?",The number of evaluation approaches that have been applied in papers published by Danny Weyns is one in 2018 and one in 2019.,"['10.1007/978-3-030-00761-4_4', '10.1007/978-3-030-00761-4_4', '10.1007/978-3-030-00761-4_4', '10.1007/978-3-030-29983-5_8', '10.1007/978-3-030-29983-5_8', '10.1007/978-3-030-29983-5_8']",,"['(R871632:authors list, has list element, L1526813:Danny Weyns)', '(R871631:Applying Architecture-Based Adaptation to Automate the Management of Internet-of-Things, publication year, L1526817:2018)', '(R871657:Evaluation Method Entity, Name, L1526868:Case Study)', '(R869606:authors list, has list element, L1522603:Danny Weyns)', '(R869605:Continuous Adaptation Management in Collective Intelligence Systems, publication year, L1522605:2019)', '(R869631:Evaluation Method Entity, Name, L1522660:Case Study)']",clustering_strategy,R659055,Software Architecture and Design,6,What is the proportion of the evaluation methods that have been published by the author [Metadata: author name] per year?,2,relationship,False,"For each year, what is the number of evaluation approaches that have been applied in papers published by [Metadata: author name]?",multi fact,explanatory,"description, named entity, temporal",named entity,False,
45fd4cfa-0734-4805-b703-9108057fe185,Which paper investigates the property robustness?,The paper with the title 'Designing Robust Software Systems through Parametric Markov Chain Synthesis' is the only paper that evaluates the property robustness.,['10.1109/ICSA.2017.16'],,"['(R868433:Property, Name, L1520081:Robustness)']",publication_subgraph_strategy,R868403,Designing Robust Software Systems through Parametric Markov Chain Synthesis,5,Which papers evaluate the sub-property with the name [Content Data: sub-property name]?,3,basic,True,Which paper investigates the property [property]?,single fact,simple,named entity,named entity,True,
5bb01df5-bdda-4226-9abb-0508dd287db1,Which papers apply the evaluation method Field Experiment?,"The papers that apply the evaluation method Field Experiment are: 1. ACE: Easy Deployment of Field Optimization Experiments, 2. Decision Models for Microservices: Design Areas, Stakeholders, Use Cases, and Requirements, and 3. An Architecture for Decentralized, Collaborative, and Autonomous Robots.","['10.1007/978-3-030-29983-5_18', '10.1007/978-3-319-65831-5_11', '10.1109/ICSA.2018.00017']",,"['(R869510:Evaluation Method Entity, Name, L1522395:Field Experiment)', '(R869418:Evaluation Method Entity, Name, L1522201:Field Experiment)', '(R871557:Evaluation Method Entity, Name, L1526667:Field Experiment)']",clustering_strategy,R659055,Software Architecture and Design,6,Which papers apply the evaluation method with the name [Content Data: evaluation method name]?,3,aggregation,True,Which papers apply the evaluation method [Content Data: evaluation method name]?,multi fact,enumerative,named entity,named entity,True,
fc884d7c-e208-42e9-bc8a-41278fc275ca,Which papers evaluate the property Security and have input data available?,"The publications that evaluate the property Security and have input data available are: 'Understanding Software Vulnerabilities Related to Architectural Security Tactics: An Empirical Investigation of Chromium, PHP and Thunderbird' and 'A Comparison of MQTT Brokers for Distributed IoT Edge Computing'.","['10.1109/ICSA.2017.39', '10.1109/ICSA.2017.39', '10.1007/978-3-030-58923-3_23', '10.1007/978-3-030-58923-3_23']",,"['(R872259:Property, Name, L1528119:Security)', '(R872263:Input Data, available, L1528123:True)', '(R873760:Property, Name, L1531164:Security)', '(R873766:Input Data, available, L1531170:True)']",clustering_strategy,R659055,Software Architecture and Design,6,Which publications evaluate the sub-property [sub property name] and have input data available?,3,aggregation,True,Which papers evaluate the property [Content Data: property name] and have input data available?,multi fact,enumerative,named entity,named entity,False,
e241a8f3-84f7-4189-9808-85e606369b6a,How many papers evaluate the property Reliability?,There are five papers that evaluate the property Reliability.,"['10.1007/978-3-030-58923-3_23', '10.1109/ICSA.2018.00017', '10.1109/ICSA.2019.00019', '10.1109/ICSA.2017.43', '10.1109/ICSA.2019.00013']",,"['(R873759:Property, Name, L1531163:Reliability)', '(R871563:Property, Name, L1526673:Reliability)', '(R871765:Property, Name, L1527091:Reliability)', '(R871130:Property, Name, L1525789:Reliability)', '(R870044:Property, Name, L1523526:Reliability)']",clustering_strategy,R659055,Software Architecture and Design,6,How many papers evaluate the sub-property with the name [Content Data: sub-property name]?,3,counting,True,How many papers evaluate the property [Content Data: property name]?,multi fact,simple,named entity,named entity,True,
137febde-0bb1-4b18-b5ca-c8e7a878c974,What is the number of papers that investigate the property Security?,Six papers investigate the property Security.,"['10.1007/978-3-030-58923-3_23', '10.1109/ICSA.2017.39', '10.1109/ICSA.2019.00019', '10.1109/ICSA.2019.00012', '10.1109/ICSA.2018.00010', '10.1109/ICSA.2017.42']",,"['(R873760:Property, Name, L1531164:Security)', '(R872259:Property, Name, L1528119:Security)', '(R871764:Property, Name, L1527090:Security)', '(R870779:Property, Name, L1525081:Security)', '(R874713:Property, Name, L1533184:Security)', '(R872592:Property, Name, L1528794:Security)']",clustering_strategy,R659055,Software Architecture and Design,6,How many publications have the evaluation sub-property [Content Data: sub-property name]?,3,counting,True,What is the number of papers that investigate the property [Content Data: property name]?,multi fact,simple,named entity,named entity,False,
69e09835-46f3-4c0f-a8d4-41534fa28e48,Which papers apply the evaluation method Field Experiment? Rank the papers in descending order of their publication year.,"The papers that apply the evaluation method Field Experiment, ranked in descending order of their publication year, are: 1. ACE: Easy Deployment of Field Optimization Experiments (2019), 2. An Architecture for Decentralized, Collaborative, and Autonomous Robots (2018), and 3. Decision Models for Microservices: Design Areas, Stakeholders, Use Cases, and Requirements (2017).","['10.1109/ICSA.2018.00017', '10.1109/ICSA.2018.00017', '10.1007/978-3-030-29983-5_18', '10.1007/978-3-030-29983-5_18', '10.1007/978-3-319-65831-5_11', '10.1007/978-3-319-65831-5_11']",,"['(R871557:Evaluation Method Entity, Name, L1526667:Field Experiment)', '(R871523:An Architecture for Decentralized, Collaborative, and Autonomous Robots, publication year, L1526604:2018)', '(R869510:Evaluation Method Entity, Name, L1522395:Field Experiment)', '(R869486:ACE: Easy Deployment of Field Optimization Experiments, publication year, L1522347:2019)', '(R869418:Evaluation Method Entity, Name, L1522201:Field Experiment)', '(R869392:Decision Models for Microservices: Design Areas, Stakeholders, Use Cases, and Requirements, publication year, L1522148:2017)']",clustering_strategy,R659055,Software Architecture and Design,6,Which papers apply the evaluation method with the name [Content Data: evaluation method name]? Rank the papers in descending order of their publication year.,3,ranking,True,Which papers apply the evaluation method [Content Data: evaluation method name]? Rank the papers in descending order of their publication year.,multi fact,enumerative,"named entity, temporal",named entity,True,
69bcdd8c-745a-4605-8dc6-e3678b2142bd,Which studies evaluate compatibility in their work sorted from the most recent publication to the earliest?,"The publications that evaluate the property Compatibility, ranked in descending order of their publication year, are: 1. Mitigating the Influence of Embedded Software Development Environments and Toolsets (ESDT) on Software Architecture (2019), and 2. An Architecture for Decentralized, Collaborative, and Autonomous Robots (2018).","['10.1109/ICSA.2018.00017', '10.1109/ICSA.2018.00017', '10.1109/ICSA.2019.00020', '10.1109/ICSA.2019.00020']",,"['(R871562:Property, Name, L1526672:Compatibility)', '(R871523:An Architecture for Decentralized, Collaborative, and Autonomous Robots, publication year, L1526604:2018)', '(R871569:Property, Name, L1526678:Compatibility)', '(R868862:Mitigating the Influence of Embedded Software Development Environments and Toolsets (ESDT) on Software Architecture, publication year, L1521021:2019)']",clustering_strategy,R659055,Software Architecture and Design,6,Which publications have the evaluation sub-property [evaluation sub-property name] ranked by the publication year?,3,ranking,False,Which studies evaluate [Content Data: property name] in their work sorted from the most recent publication to the earliest?,multi fact,enumerative,"named entity, temporal",named entity,False,
